Team,Total Rounds,4v5 WR,5v4 WR,Disadvantages WR,Advantages WR
Sentinels,361,36.04%,76.15%,18.04%,85.49%
Team Vitality,151,34.69%,77.50%,15.27%,86.14%
Paper Rex,140,34.15%,70.97%,16.00%,90.58%
EDward Gaming,449,33.61%,66.14%,18.16%,82.82%
Team Heretics,552,33.33%,72.61%,19.43%,84.96%
FNATIC,293,32.93%,72.73%,19.71%,84.86%
LEVIATAN,407,31.53%,75.41%,14.07%,85.59%
DRX,238,31.33%,77.46%,19.60%,87.27%
G2 Esports,200,29.17%,64.41%,14.41%,84.00%
Gen.G Esports,153,23.26%,57.14%,16.76%,81.08%
Trace Esports,208,19.67%,61.02%,11.30%,83.05%
KRU Esports,156,19.05%,71.11%,8.43%,83.33%
TALON,85,17.86%,50.00%,8.33%,77.66%
FunPlus Phoenix,115,16.67%,69.70%,8.72%,78.51%
FUT Esports,88,9.52%,68.00%,5.88%,81.19%
Bilibili Gaming,78,9.09%,73.68%,6.25%,81.16%
,,,,,
AVERAGE,230,25.74%,69.00%,13.77%,83.61%
