Team,Post Plants Played,Post Plant ATK WR,Post Plant Retake WR,Overall Post Plant WR
EDward Gaming,321,72.34%,33.08%,56.07%
Sentinels,285,72.31%,41.29%,55.44%
DRX,180,65.14%,35.21%,53.33%
Team Vitality,91,72.22%,24.32%,52.75%
KRU Esports,99,72.92%,31.37%,51.52%
FNATIC,219,73.68%,32.26%,50.23%
Team Heretics,425,72.59%,30.70%,50.12%
LEVIATAN,288,64.18%,37.01%,49.65%
G2 Esports,152,67.11%,31.58%,49.34%
Gen.G,110,69.84%,17.02%,47.27%
Paper Rex,96,56.00%,32.61%,44.79%
Trace Esports,138,66.67%,24.00%,43.48%
FUT Esports,67,62.50%,25.71%,43.28%
FunPlus Phoenix,80,53.85%,31.71%,42.50%
TALON,54,55.00%,26.47%,37.04%
Bilibili Gaming,53,48.39%,9.09%,32.08%
,,,,
AVERAGE,166.125,65.30%,28.97%,47.43%
