Team,Total Maps Played,Overall Map WR,Own Pick WR,Enemy Pick WR,Decider WR
LEVIATAN,18,68.75%,87.50%,50.00%,0.00%
EDward Gaming,21,66.67%,50.00%,75.00%,80.00%
Team Heretics,25,65.22%,60.00%,50.00%,80.00%
Sentinels,19,58.82%,71.43%,57.14%,33.33%
DRX,14,58.33%,80.00%,40.00%,50.00%
FNATIC,14,50.00%,66.67%,33.33%,50.00%
KRU Esports,8,50.00%,100.00%,33.33%,0.00%
G2 Esports,9,44.44%,25.00%,50.00%,100.00%
Team Vitality,7,42.86%,66.67%,33.33%,0.00%
Gen.G,7,42.86%,33.33%,66.67%,0.00%
Paper Rex,7,42.86%,33.33%,66.67%,0.00%
Trace Esports,10,40.00%,50.00%,0.00%,100.00%
FunPlus Phoenix,5,20.00%,0.00%,50.00%,0.00%
Bilibili Gaming,4,0.00%,0.00%,0.00%,NULL
FUT Esports,4,0.00%,0.00%,0.00%,NULL
TALON,4,0.00%,0.00%,0.00%,NULL
,,,,,
AVERAGE,11,41%,45.25%,37.84%,37.95%
