Team,Total Rounds,General RWR%,Pistol RWR%,Rifle vs Rifle RWR%,Eco RWR%,Anti-Eco RWR%,R2 Convert RWR%,R3 Bonus RWR%
EDward Gaming,449,55%,62%,56%,38%,87%,88%,48%
DRX,238,54%,58%,57%,22%,89%,86%,33%
FNATIC,293,52%,61%,48%,25%,92%,94%,44%
Team Heretics,552,52%,48%,55%,21%,64%,96%,30%
Sentinels,361,52%,44%,51%,33%,85%,100%,53%
Team Vitality,151,50%,57%,40%,50%,100%,75%,67%
LEVIATAN,407,50%,56%,51%,14%,58%,90%,44%
KRU Esports,156,50%,44%,49%,0%,89%,100%,86%
Paper Rex,140,49%,50%,50%,0%,38%,100%,57%
Gen.G Esports,153,49%,43%,55%,20%,82%,100%,17%
G2 Esports,200,47%,44%,54%,35%,50%,75%,33%
Trace Esports,208,46%,45%,40%,0%,70%,100%,11%
FunPlus Phoenix,115,44%,50%,49%,13%,75%,80%,25%
FUT Esports,88,41%,25%,35%,17%,100%,100%,100%
TALON,85,39%,25%,32%,0%,86%,50%,0%
Bilibili Gaming,78,33%,25%,30%,20%,100%,100%,0%
,,,,,,,,
AVERAGE,229.625,48%,46%,47%,19%,79%,90%,41%
