Team,Total Rounds,Kills Pre Plant WR,Kills Post Plant WR,Post Plant ATK WR,Post Plant Retake WR,Bomb WR,Defuse WR,Time WR
EDward Gaming,449,62.41%,55.88%,72.34%,33.08%,58.18%,45.83%,33.33%
FNATIC,293,59.70%,47.44%,73.68%,32.26%,43.94%,61.54%,29.41%
Gen.G,153,56.00%,43.48%,69.84%,17.02%,60.87%,29.63%,71.43%
LEVIATAN,407,53.49%,49.00%,64.18%,37.01%,34.62%,54.29%,57.14%
Trace Esports,208,52.86%,39.68%,66.67%,24.00%,44.00%,46.15%,36.36%
Paper Rex,140,52.08%,58.33%,56.00%,32.61%,28.57%,40.54%,60.00%
KRU Esports,156,50.00%,54.76%,72.92%,31.37%,42.86%,55.17%,16.67%
FunPlus Phoenix,115,50.00%,45.71%,53.85%,31.71%,27.27%,41.94%,50.00%
Team Heretics,552,47.95%,48.70%,72.59%,30.70%,54.84%,56.45%,74.07%
DRX,287,47.17%,62.12%,65.14%,35.21%,66.67%,39.68%,61.54%
Sentinels,410,47.01%,55.00%,72.31%,41.29%,45.00%,64.00%,37.50%
Team Vitality,151,43.55%,56.10%,72.22%,24.32%,66.67%,37.50%,66.67%
TALON,85,39.39%,23.53%,55.00%,26.47%,50.00%,50.00%,0.00%
FUT Esports,88,39.13%,42.86%,62.50%,25.71%,42.86%,42.86%,0.00%
Bilibili Gaming,78,36.00%,40.00%,48.39%,9.09%,44.44%,11.11%,100.00%
G2 Esports,200,33.82%,44.44%,67.11%,31.58%,72.00%,48.98%,100.00%
