Team,4v5s Played,5v4s Played,Total Advantages,Total Disadvantages,4v5 WR,5v4 WR,Advantages WR,Disadvantages WR
Sentinels,111,130,69,112,36.04%,76.15%,81.16%,6.25%
Team Vitality,49,40,322,301,34.69%,77.50%,87.27%,19.60%
Paper Rex,41,31,518,468,34.15%,70.97%,82.82%,18.16%
EDward Gaming,122,127,370,340,33.61%,66.14%,84.86%,19.71%
Team Heretics,150,157,121,149,33.33%,72.61%,78.51%,8.72%
FNATIC,82,88,101,102,32.93%,72.73%,81.19%,5.88%
LEVIATAN,111,122,225,236,31.53%,75.41%,84.00%,14.41%
DRX,83,71,148,185,31.33%,77.46%,81.08%,16.76%
G2 Esports,48,59,174,178,29.17%,64.41%,83.33%,8.43%
Gen.G Esports,43,35,458,462,23.26%,57.14%,85.59%,14.07%
Trace Esports,61,59,138,175,19.67%,61.02%,90.58%,16.00%
KRU Esports,42,45,455,449,19.05%,71.11%,85.49%,18.04%
TALON,28,20,94,108,17.86%,50.00%,77.66%,8.33%
FunPlus Phoenix,36,33,678,566,16.67%,69.70%,84.96%,19.43%
FUT Esports,21,25,166,203,9.52%,68.00%,86.14%,15.27%
Bilibili Gaming,33,19,236,239,9.09%,73.68%,83.05%,11.30%
,,,,,,,,
AVERAGE,,,,,25.74%,69.00%,83.61%,13.77%
